t,subject_id,elicitation,age,gender,date,reaction_time,choice,choice_maximizing_utility,probabilities,rewards,outcome,cf_outcome,key_pressed,cond,session
0,0,0,,male,2019-05-09_11:45,0.19641895790118724,1,1,"[[0.3 0.7]
 [0.7 0.3]]","[[-1  1]
 [-1  1]]",1,-1,right,1,0
1,0,0,,male,2019-05-09_11:45,0.07383637805469334,2,0,"[[0.2 0.8]
 [0.8 0.2]]","[[-1  1]
 [-1  1]]",-1,1,right,0,0
2,0,0,,male,2019-05-09_11:45,0.0371559209888801,1,-1,"[[0.5 0.5]
 [0.5 0.5]]","[[-1  1]
 [-1  1]]",-1,-1,right,3,0
3,0,0,,male,2019-05-09_11:45,0.3697185309138149,2,0,"[[0.4 0.6]
 [0.6 0.4]]","[[-1  1]
 [-1  1]]",-1,1,right,2,0
